Cell Reference,nCube ID,nCube Name,N of Variables,Variable 1,Cat 1 Seq,Category 1,Variable 2,Cat 2 Seq,Category 2,Variable 3,Cat 3 Seq,Category 3, Variable 4,Cat 4 Seq,Category 4
OCC_RAW1841:female/o20/1002,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1002,Egg-merchant and Dealer,,,
OCC_RAW1841:female/o20/1003,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1003,Embosser,,,
OCC_RAW1841:female/o20/1004,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1004,Embroiderer,,,
OCC_RAW1841:female/o20/101,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,101,Bacon and Ham-dealer and Factor,,,
OCC_RAW1841:female/o20/1014,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1014,Enameller,,,
OCC_RAW1841:female/o20/1016,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1016,Engine and Machine-maker,,,
OCC_RAW1841:female/o20/1019,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1019,Engineer and Engine-worker,,,
OCC_RAW1841:female/o20/1020,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1020,Engineer, Civil,,,
OCC_RAW1841:female/o20/1021,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1021,Engine-turner,,,
OCC_RAW1841:female/o20/1023,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1023,Engraver (all branches),,,
OCC_RAW1841:female/o20/1031,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1031,Exhibition (Show) Keeper,,,
OCC_RAW1841:female/o20/1035,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1035,Eye (Artificial) maker,,,
OCC_RAW1841:female/o20/1038,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1038,Factory-worker (manufacture not specified),,,
OCC_RAW1841:female/o20/1041,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1041,Fancy Goods Manufacture,,,
OCC_RAW1841:female/o20/1042,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1042,Fancy Goods Warehouseman and Dealer,,,
OCC_RAW1841:female/o20/1052,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1052,Fan-maker,,,
