g_unit,g_name,g_suffix,cellRef,start_year,start_date,end_year,end_date,redistricted,g_data,g_data_credit
10001043,ENGLAND AND WALES,Dep,OCC_ORD1861_OVER20:male/1,0,,1861,,E,79592.0,GATLEYD_occ_1861
10001055,WALES,Dep,OCC_ORD1861_OVER20:male/1,0,,1861,,E,3122.0,GATLEYD_occ_1861
10061325,ENGLAND,Dep,OCC_ORD1861_OVER20:male/1,0,,1861,,E,76470.0,GATLEYD_occ_1861
10001043,ENGLAND AND WALES,Dep,OCC_ORD1861_OVER20:male/10,0,,1861,,E,737238.0,GATLEYD_occ_1861
10001055,WALES,Dep,OCC_ORD1861_OVER20:male/10,0,,1861,,E,32596.0,GATLEYD_occ_1861
10061325,ENGLAND,Dep,OCC_ORD1861_OVER20:male/10,0,,1861,,E,704642.0,GATLEYD_occ_1861
10001043,ENGLAND AND WALES,Dep,OCC_ORD1861_OVER20:male/11,0,,1861,,E,678951.0,GATLEYD_occ_1861
10001055,WALES,Dep,OCC_ORD1861_OVER20:male/11,0,,1861,,E,22318.0,GATLEYD_occ_1861
10061325,ENGLAND,Dep,OCC_ORD1861_OVER20:male/11,0,,1861,,E,656633.0,GATLEYD_occ_1861
10001043,ENGLAND AND WALES,Dep,OCC_ORD1861_OVER20:male/12,0,,1861,,E,292342.0,GATLEYD_occ_1861
10001055,WALES,Dep,OCC_ORD1861_OVER20:male/12,0,,1861,,E,11224.0,GATLEYD_occ_1861
10061325,ENGLAND,Dep,OCC_ORD1861_OVER20:male/12,0,,1861,,E,281118.0,GATLEYD_occ_1861
10001043,ENGLAND AND WALES,Dep,OCC_ORD1861_OVER20:male/13,0,,1861,,E,40809.0,GATLEYD_occ_1861
10001055,WALES,Dep,OCC_ORD1861_OVER20:male/13,0,,1861,,E,1318.0,GATLEYD_occ_1861
10061325,ENGLAND,Dep,OCC_ORD1861_OVER20:male/13,0,,1861,,E,39491.0,GATLEYD_occ_1861
10001043,ENGLAND AND WALES,Dep,OCC_ORD1861_OVER20:male/14,0,,1861,,E,104446.0,GATLEYD_occ_1861
10001055,WALES,Dep,OCC_ORD1861_OVER20:male/14,0,,1861,,E,4689.0,GATLEYD_occ_1861
10061325,ENGLAND,Dep,OCC_ORD1861_OVER20:male/14,0,,1861,,E,99757.0,GATLEYD_occ_1861
10001043,ENGLAND AND WALES,Dep,OCC_ORD1861_OVER20:male/15,0,,1861,,E,728602.0,GATLEYD_occ_1861
10001055,WALES,Dep,OCC_ORD1861_OVER20:male/15,0,,1861,,E,94502.0,GATLEYD_occ_1861
10061325,ENGLAND,Dep,OCC_ORD1861_OVER20:male/15,0,,1861,,E,634100.0,GATLEYD_occ_1861
10001043,ENGLAND AND WALES,Dep,OCC_ORD1861_OVER20:male/16,0,,1861,,E,284053.0,GATLEYD_occ_1861
10001055,WALES,Dep,OCC_ORD1861_OVER20:male/16,0,,1861,,E,26831.0,GATLEYD_occ_1861
10061325,ENGLAND,Dep,OCC_ORD1861_OVER20:male/16,0,,1861,,E,257222.0,GATLEYD_occ_1861
10001043,ENGLAND AND WALES,Dep,OCC_ORD1861_OVER20:male/17,0,,1861,,E,22539.0,GATLEYD_occ_1861
10001055,WALES,Dep,OCC_ORD1861_OVER20:male/17,0,,1861,,E,713.0,GATLEYD_occ_1861
10061325,ENGLAND,Dep,OCC_ORD1861_OVER20:male/17,0,,1861,,E,21826.0,GATLEYD_occ_1861
10001043,ENGLAND AND WALES,Dep,OCC_ORD1861_OVER20:male/18,0,,1861,,E,16969.0,GATLEYD_occ_1861
10001055,WALES,Dep,OCC_ORD1861_OVER20:male/18,0,,1861,,E,1058.0,GATLEYD_occ_1861
10061325,ENGLAND,Dep,OCC_ORD1861_OVER20:male/18,0,,1861,,E,15911.0,GATLEYD_occ_1861
10001043,ENGLAND AND WALES,Dep,OCC_ORD1861_OVER20:male/19,0,,1861,,E,48058.0,GATLEYD_occ_1861
10001055,WALES,Dep,OCC_ORD1861_OVER20:male/19,0,,1861,,E,3808.0,GATLEYD_occ_1861
10061325,ENGLAND,Dep,OCC_ORD1861_OVER20:male/19,0,,1861,,E,44250.0,GATLEYD_occ_1861
10001043,ENGLAND AND WALES,Dep,OCC_ORD1861_OVER20:male/2,0,,1861,,E,112753.0,GATLEYD_occ_1861
10001055,WALES,Dep,OCC_ORD1861_OVER20:male/2,0,,1861,,E,2836.0,GATLEYD_occ_1861
10061325,ENGLAND,Dep,OCC_ORD1861_OVER20:male/2,0,,1861,,E,109917.0,GATLEYD_occ_1861
10001043,ENGLAND AND WALES,Dep,OCC_ORD1861_OVER20:male/3,0,,1861,,E,146810.0,GATLEYD_occ_1861
10001055,WALES,Dep,OCC_ORD1861_OVER20:male/3,0,,1861,,E,7466.0,GATLEYD_occ_1861
10061325,ENGLAND,Dep,OCC_ORD1861_OVER20:male/3,0,,1861,,E,139344.0,GATLEYD_occ_1861
10001043,ENGLAND AND WALES,Dep,OCC_ORD1861_OVER20:male/4,0,,1861,,E,12288.0,GATLEYD_occ_1861
10001055,WALES,Dep,OCC_ORD1861_OVER20:male/4,0,,1861,,E,1216.0,GATLEYD_occ_1861
10061325,ENGLAND,Dep,OCC_ORD1861_OVER20:male/4,0,,1861,,E,11072.0,GATLEYD_occ_1861
10001043,ENGLAND AND WALES,Dep,OCC_ORD1861_OVER20:male/5,0,,1861,,E,171310.0,GATLEYD_occ_1861
10001055,WALES,Dep,OCC_ORD1861_OVER20:male/5,0,,1861,,E,7073.0,GATLEYD_occ_1861
10061325,ENGLAND,Dep,OCC_ORD1861_OVER20:male/5,0,,1861,,E,164237.0,GATLEYD_occ_1861
10001043,ENGLAND AND WALES,Dep,OCC_ORD1861_OVER20:male/6,0,,1861,,E,130762.0,GATLEYD_occ_1861
10001055,WALES,Dep,OCC_ORD1861_OVER20:male/6,0,,1861,,E,4552.0,GATLEYD_occ_1861
10061325,ENGLAND,Dep,OCC_ORD1861_OVER20:male/6,0,,1861,,E,126210.0,GATLEYD_occ_1861
10001043,ENGLAND AND WALES,Dep,OCC_ORD1861_OVER20:male/7,0,,1861,,E,336085.0,GATLEYD_occ_1861
10001055,WALES,Dep,OCC_ORD1861_OVER20:male/7,0,,1861,,E,18424.0,GATLEYD_occ_1861
10061325,ENGLAND,Dep,OCC_ORD1861_OVER20:male/7,0,,1861,,E,317661.0,GATLEYD_occ_1861
10001043,ENGLAND AND WALES,Dep,OCC_ORD1861_OVER20:male/8,0,,1861,,E,1213043.0,GATLEYD_occ_1861
10001055,WALES,Dep,OCC_ORD1861_OVER20:male/8,0,,1861,,E,102168.0,GATLEYD_occ_1861
10061325,ENGLAND,Dep,OCC_ORD1861_OVER20:male/8,0,,1861,,E,1110875.0,GATLEYD_occ_1861
10001043,ENGLAND AND WALES,Dep,OCC_ORD1861_OVER20:male/9,0,,1861,,E,73922.0,GATLEYD_occ_1861
10001055,WALES,Dep,OCC_ORD1861_OVER20:male/9,0,,1861,,E,3624.0,GATLEYD_occ_1861
10061325,ENGLAND,Dep,OCC_ORD1861_OVER20:male/9,0,,1861,,E,70298.0,GATLEYD_occ_1861
10001031,ISLE OF MAN,CrProt,OCC_ORD1861_OVER20:female/1,0,,1861,,E,6.0,GATLEYD_occ_1861
10001043,ENGLAND AND WALES,Dep,OCC_ORD1861_OVER20:female/1,0,,1861,,E,3720.0,GATLEYD_occ_1861
10001055,WALES,Dep,OCC_ORD1861_OVER20:female/1,0,,1861,,E,208.0,GATLEYD_occ_1861
10061325,ENGLAND,Dep,OCC_ORD1861_OVER20:female/1,0,,1861,,E,3512.0,GATLEYD_occ_1861
10095955,GUERNSEY,CrProt,OCC_ORD1861_OVER20:female/1,0,,1861,,E,2.0,GATLEYD_occ_1861
10107258,JERSEY,CrProt,OCC_ORD1861_OVER20:female/1,0,,1861,,E,6.0,GATLEYD_occ_1861
10001031,ISLE OF MAN,CrProt,OCC_ORD1861_OVER20:female/10,0,,1861,,E,117.0,GATLEYD_occ_1861
10001043,ENGLAND AND WALES,Dep,OCC_ORD1861_OVER20:female/10,0,,1861,,E,49178.0,GATLEYD_occ_1861
10001055,WALES,Dep,OCC_ORD1861_OVER20:female/10,0,,1861,,E,1187.0,GATLEYD_occ_1861
10061325,ENGLAND,Dep,OCC_ORD1861_OVER20:female/10,0,,1861,,E,47991.0,GATLEYD_occ_1861
10095955,GUERNSEY,CrProt,OCC_ORD1861_OVER20:female/10,0,,1861,,E,128.0,GATLEYD_occ_1861
10107258,JERSEY,CrProt,OCC_ORD1861_OVER20:female/10,0,,1861,,E,153.0,GATLEYD_occ_1861
10001031,ISLE OF MAN,CrProt,OCC_ORD1861_OVER20:female/11,0,,1861,,E,1563.0,GATLEYD_occ_1861
10001043,ENGLAND AND WALES,Dep,OCC_ORD1861_OVER20:female/11,0,,1861,,E,990243.0,GATLEYD_occ_1861
10001055,WALES,Dep,OCC_ORD1861_OVER20:female/11,0,,1861,,E,28951.0,GATLEYD_occ_1861
10061325,ENGLAND,Dep,OCC_ORD1861_OVER20:female/11,0,,1861,,E,961292.0,GATLEYD_occ_1861
10095955,GUERNSEY,CrProt,OCC_ORD1861_OVER20:female/11,0,,1861,,E,1750.0,GATLEYD_occ_1861
10107258,JERSEY,CrProt,OCC_ORD1861_OVER20:female/11,0,,1861,,E,3427.0,GATLEYD_occ_1861
10001031,ISLE OF MAN,CrProt,OCC_ORD1861_OVER20:female/12,0,,1861,,E,178.0,GATLEYD_occ_1861
10001043,ENGLAND AND WALES,Dep,OCC_ORD1861_OVER20:female/12,0,,1861,,E,77119.0,GATLEYD_occ_1861
10001055,WALES,Dep,OCC_ORD1861_OVER20:female/12,0,,1861,,E,5148.0,GATLEYD_occ_1861
10061325,ENGLAND,Dep,OCC_ORD1861_OVER20:female/12,0,,1861,,E,71971.0,GATLEYD_occ_1861
10095955,GUERNSEY,CrProt,OCC_ORD1861_OVER20:female/12,0,,1861,,E,171.0,GATLEYD_occ_1861
10107258,JERSEY,CrProt,OCC_ORD1861_OVER20:female/12,0,,1861,,E,280.0,GATLEYD_occ_1861
10001031,ISLE OF MAN,CrProt,OCC_ORD1861_OVER20:female/13,0,,1861,,E,2.0,GATLEYD_occ_1861
10001043,ENGLAND AND WALES,Dep,OCC_ORD1861_OVER20:female/13,0,,1861,,E,4332.0,GATLEYD_occ_1861
