Accountant,Accountant,Accountant
Accoutrement-maker,"Accoutrement maker,Maker of accoutrements",Maker
Actor (Play),Actor,Actor
Aeronaut,Aeronaut,Aeronaut
Agent and Factor (branch not specified),"Agent,Factor","Agent,Factor"
Agricultural Implement-maker,"Agricultural implement maker,Maker of agricultural implements",Maker
Alkali-manufacturer,Alkali manufacturer,Manufacturer
Alum Manufacturer,Alum manufacturer,Manufacturer
Anchor-smith and Chain-maker,"Anchor smith,Chain maker,Maker of chain,Maker of chains","Smith,Maker"
Animal and Bird-dealer,"Animal dealer,Bird dealer,Dealer in animals,Dealer in birds",Dealer
Animal and Bird-preserver,"Animal preserver,Bird preserver,Taxidermist",Taxidermist
Annatto-maker,"Annatto maker,Maker of annatto",Maker
Anti-dry-rot Works,Anti dry rot worker,Anti dry rot worker
Anvil-maker,"Anvil maker,Maker of anvils",Manufacturer
Archery-goods-dealer and Maker,"Archery goods dealer,Archery goods maker,Dealer in archery goods,Maker of archery goods","Dealer,Maker"
Architect,Architect,Architect
"Architect, Naval",Naval architect,Architect
Armourer,Armourer,Armourer
Army (at Home),"Soldier,Army officer","Soldier,Officer"
Army Agent,Army agent,Army agent
Army Clothier,Army clothier,Clothier
Army Contractor,Army contractor,Contractor
"Army, Half-pay","Soldier,Army officer","Soldier,Officer"
Articulator (Anatomical Instrument-maker),"Articulator,Anatomical instrument maker,Maker of anatomical instruments","Articulator,Maker"
Artist (Fine Arts),Artist,Artist
Asphalte-manufacturer,Asphalte manufacturer,Manufacturer
Assay-master,Assay master,Assay master
Assayer,Assayer,Assayer
"Attorney, Solicitor, Writer, and Law Student","Attorney,Solicitor,Writer,Law student","Attorney,Solicitor,Writer,Student"
"Auctioneer, Appraiser, and House Agent","Auctioneer,Appraiser,House agent","Auctioneer,Appraiser,Agent"
Aurist,Aurist,Aurist
Author,Author,Author
Axle-tree-maker,"Axle tree maker,Maker of axle trees",Maker
Baby-linen-dealer and Maker,"Baby linen dealer,Baby linen maker,Dealer in baby linen,Maker of baby linen","Dealer,Maker"
